date,totalChallan,disposedChallan,pendingChallan,pendingAmount,disposedAmount,totalAmount,pendingCourt,disposedCourt,totalCourt
2015-01-01,120,29,91,588600,116860,705460,1,0,1
2015-01-02,162,39,123,663350,281425,944775,1,1,2
2015-01-03,122,34,88,596900,286950,883850,4,1,5
2015-01-04,116,27,89,967350,301600,1268950,3,2,5
2015-01-05,162,28,134,877654,103000,980654,2,0,2
2015-01-06,104,24,80,597100,149500,746600,2,1,3
2015-01-07,108,22,86,728650,144600,873250,3,1,4
2015-01-08,169,37,132,886802,156300,1043102,0,0,0
2015-01-09,137,30,107,852650,282200,1134850,7,0,7
2015-01-10,108,35,73,668450,183380,851830,6,0,6
2015-01-11,116,18,98,809900,109200,919100,3,0,3
2015-01-12,130,19,111,650150,85600,735750,1,1,2
2015-01-13,115,24,91,579000,83235,662235,8,3,11
2015-01-14,68,15,53,352850,77050,429900,6,0,6
2015-01-15,116,30,86,650400,148100,798500,1,0,1
2015-01-16,148,27,121,555800,53800,609600,1,1,2
2015-01-17,128,37,91,610100,137800,747900,2,2,4
2015-01-18,84,22,62,450350,52300,502650,1,1,2
2015-01-19,134,32,102,567500,130900,698400,7,2,9
2015-01-20,137,33,104,584350,158600,742950,7,0,7
2015-01-21,112,23,89,634749,56400,691149,2,0,2
2015-01-22,130,27,103,670600,106800,777400,2,3,5
2015-01-23,93,25,68,354000,179550,533550,7,0,7
2015-01-24,74,17,57,447450,90800,538250,2,1,3
2015-01-25,97,30,67,617050,161700,778750,2,0,2
2015-01-26,75,13,62,410350,43250,453600,2,0,2
2015-01-27,83,33,50,319620,164500,484120,1,0,1
2015-01-28,134,23,111,586950,50750,637700,4,1,5
2015-01-29,101,29,72,442198,233690,675888,1,0,1
2015-01-30,109,28,81,681600,196030,877630,3,1,4
2015-01-31,89,19,70,563971,111300,675271,2,0,2
2015-02-01,69,21,48,413896,68200,482096,3,2,5
2015-02-02,116,32,84,607850,145800,753650,6,0,6
2015-02-03,126,36,90,797798,184200,981998,2,1,3
2015-02-04,125,37,88,656550,204036,860586,2,1,3
2015-02-05,118,32,86,758500,146720,905220,2,0,2
2015-02-06,101,32,69,553250,110000,663250,4,1,5
2015-02-07,77,29,48,401850,108600,510450,2,0,2
2015-02-08,78,27,51,273650,82100,355750,2,0,2
2015-02-09,116,37,79,604400,140600,745000,1,0,1
2015-02-10,190,54,136,1101190,205500,1306690,5,0,5
2015-02-11,213,54,159,984522,241900,1226422,2,0,2
2015-02-12,230,56,174,1046250,200350,1246600,2,0,2
2015-02-13,160,46,114,927550,145035,1072585,2,2,4
2015-02-14,129,23,106,561350,55310,616660,3,0,3
2015-02-15,89,34,55,318900,109300,428200,2,0,2
2015-02-16,133,29,104,735620,116600,852220,0,1,1
2015-02-17,55,18,37,168300,60600,228900,0,0,0
2015-02-18,141,34,107,687850,129800,817650,1,0,1
2015-02-19,254,76,178,938700,306050,1244750,0,0,0
2015-02-20,136,30,106,814350,97000,911350,3,0,3
2015-02-21,91,24,67,376900,145650,522550,4,1,5
2015-02-22,87,16,71,365800,26500,392300,0,0,0
2015-02-23,97,15,82,622500,68500,691000,3,0,3
2015-02-24,112,30,82,545150,201160,746310,1,2,3
2015-02-25,110,37,73,463000,122950,585950,4,1,5
2015-02-26,130,44,86,860450,189700,1050150,1,2,3
2015-02-27,105,35,70,529650,166000,695650,1,1,2
2015-02-28,58,16,42,310650,68000,378650,0,0,0
2015-03-01,61,14,47,373700,92700,466400,1,1,2
2015-03-02,101,19,82,787050,28000,815050,2,1,3
2015-03-03,144,27,117,908550,171500,1080050,6,1,7
2015-03-04,127,26,101,805500,125550,931050,4,0,4
2015-03-05,75,19,56,357000,133500,490500,4,1,5
2015-03-06,10,7,3,20400,34000,54400,0,0,0
2015-03-07,111,23,88,457850,69900,527750,2,0,2
2015-03-08,80,22,58,453050,99300,552350,1,0,1
2015-03-09,129,28,101,626400,105850,732250,4,1,5
2015-03-10,136,35,101,734350,163160,897510,5,2,7
2015-03-11,131,43,88,760160,288000,1048160,3,0,3
2015-03-12,120,26,94,672050,190410,862460,1,1,2
2015-03-13,103,35,68,560600,153320,713920,3,4,7
2015-03-14,114,30,84,538600,147610,686210,0,2,2
2015-03-15,129,43,86,404150,169449,573599,1,1,2
2015-03-16,121,25,96,700600,104130,804730,2,1,3
2015-03-17,112,24,88,588900,172548,761448,2,1,3
2015-03-18,161,42,119,994400,281950,1276350,3,1,4
2015-03-19,156,47,109,1320100,328250,1648350,4,4,8
2015-03-20,99,26,73,378401,171554,549955,6,1,7
2015-03-21,127,30,97,574250,121750,696000,0,2,2
2015-03-22,122,41,81,519200,206380,725580,1,0,1
2015-03-23,123,27,96,729000,53500,782500,8,0,8
2015-03-24,135,41,94,764750,234600,999350,4,0,4
2015-03-25,125,28,97,771050,106838,877888,1,1,2
2015-03-26,110,31,79,536650,139430,676080,6,2,8
2015-03-27,67,23,44,328200,124324,452524,2,0,2
2015-03-28,84,22,62,359700,137900,497600,0,2,2
2015-03-29,100,24,76,411800,75900,487700,0,0,0
2015-03-30,102,21,81,508630,60720,569350,2,2,4
2015-03-31,96,26,70,383800,104300,488100,1,0,1
2015-04-01,73,22,51,335100,113775,448875,1,1,2
2015-04-02,105,31,74,426747,117960,544707,1,0,1
2015-04-03,100,24,76,621300,121800,743100,3,0,3
2015-04-04,83,14,69,379600,37060,416660,0,0,0
2015-04-05,105,29,76,510430,139950,650380,1,0,1
2015-04-06,108,23,85,663120,67200,730320,0,0,0
2015-04-07,119,22,97,586650,109790,696440,7,0,7
2015-04-08,125,39,86,559220,253410,812630,2,0,2
2015-04-09,128,40,88,823300,232380,1055680,3,3,6
2015-04-10,72,13,59,503600,50800,554400,1,1,2
2015-04-11,87,36,51,310501,109300,419801,0,1,1
2015-04-12,89,20,69,385700,83300,469000,0,0,0
2015-04-13,97,24,73,746950,100050,847000,1,3,4
2015-04-14,79,19,60,319050,90400,409450,4,0,4
2015-04-15,108,29,79,838500,197000,1035500,0,1,1
2015-04-16,115,35,80,1098300,202600,1300900,3,1,4
2015-04-17,83,28,55,311000,93500,404500,4,2,6
2015-04-18,82,23,59,510770,107200,617970,4,1,5
2015-04-19,63,15,48,261350,80000,341350,0,0,0
2015-04-20,104,26,78,357900,152700,510600,5,1,6
2015-04-21,89,27,62,377450,117900,495350,2,3,5
